currency;code;bid;ask
dolar amerykański;USD;3.8903;3.9689
dolar australijski;AUD;2.6913;2.7457
dolar kanadyjski;CAD;2.8775;2.9357
euro;EUR;4.3838;4.4724
forint (Węgry);HUF;0.012714;0.01297
frank szwajcarski;CHF;4.0585;4.1405
funt szterling;GBP;4.8858;4.9846
jen (Japonia);JPY;0.035785;0.036507
korona czeska;CZK;0.1645;0.1679
korona duńska;DKK;0.5881;0.5999
korona norweska;NOK;0.4135;0.4219
korona szwedzka;SEK;0.4208;0.4294
SDR (MFW);XDR;5.3901;5.4989
